,,,,,,,,,,,,,,,,,,,,,QT 2000 MPN,,QT-51 WELL MPN,
,,,,,,Human,,Birds,,Dog,Muskrat,Ruminants,Acrobacter,Salmonella,Campylobacter,Enteroccocus ,STX1,STX2,Culture Arco,,TC Colilert ,EC Colilert,Enterolert,10 mL FC
,,,,,,HF183,HumM2,CGO1,LeeSg,Dog3,MuBac,Rum2bac,Abutz hsp60,InvA,VD16S,Calibrator ,Shigatoxin 1,Shigatoxin 2,,,total coliforms,E. Coli,,thermotolerant colifroms
Date Sampled,Week ,Pond,Location,Sample ID,Rainfall,Copies per 100 ml,,,,,,,,,,Cell Eqivalents (CCEs),,,,,,,,fecal coliforms
,,McCall Lake,Outfall ML1,37391,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,14864.4,not detected,not detected,72,No,No,,,517,46,4,70
,,Inverness,Outfall WP26C,37392,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,15,No,No,,,1120,2,18,<10
,,McCall Lake,Inlet 3/4,37393,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,297,No,No,,,more than 2419.6,11,14,10
,,Country Hills,Outfall WP31A,37394,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,571,No,No,,,more than 2419.6,2,2,<10
,,Inverness,Outfall WP26D,37395,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,1254,Not tested,Not tested,,,1773,1,14,<10
,,Country Hills,Outfall WP31D,37396,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,537,Not tested,Not tested,,,more than 2419.6,1,2,<10
,,Inverness,Outfalls/inlet,37397,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,21,No,No,,,1553,6,5,30
,,Country Hills,Outfall WP31E,37398,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,331,No,No,,,more than 2419.6,3,5,<10
,,McCall Lake,Inlet PR60,37399,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,136,No,No,,,921,5,4,10
,,Inverness,Outfall WP26B,37400,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,47,No,No,,,291,5,6,<10
